filename,target,length,fold
1.강제추행(성범죄)_17951_label.wav,0,2.3900000000000006,4
1.강제추행(성범죄)_17952_label.wav,0,2.33,2
1.강제추행(성범죄)_17957_label.wav,0,2.04,3
1.강제추행(성범죄)_17960_label.wav,0,6.52,3
1.강제추행(성범죄)_17961_label.wav,0,2.46,1
1.강제추행(성범죄)_17966_label.wav,0,2.4000000000000004,3
1.강제추행(성범죄)_17967_label.wav,0,2.46,3
1.강제추행(성범죄)_17969_label.wav,0,2.8599999999999994,4
1.강제추행(성범죄)_17971_label.wav,0,1.83,4
1.강제추행(성범죄)_17972_label.wav,0,3.2300000000000004,2
1.강제추행(성범죄)_17974_label.wav,0,2.62,5
1.강제추행(성범죄)_17976_label.wav,0,5.629999999999999,4
1.강제추행(성범죄)_17979_label.wav,0,2.4000000000000004,1
1.강제추행(성범죄)_17980_label.wav,0,2.7300000000000004,1
1.강제추행(성범죄)_17982_label.wav,0,2.49,3
1.강제추행(성범죄)_17984_label.wav,0,2.0700000000000003,4
1.강제추행(성범죄)_17986_label.wav,0,3.2,4
1.강제추행(성범죄)_17988_label.wav,0,2.26,3
1.강제추행(성범죄)_17989_label.wav,0,2.45,5
1.강제추행(성범죄)_17991_label.wav,0,2.0199999999999996,4
1.강제추행(성범죄)_17998_label.wav,0,2.41,1
1.강제추행(성범죄)_18002_label.wav,0,2.5700000000000003,2
1.강제추행(성범죄)_18003_label.wav,0,1.9500000000000002,1
1.강제추행(성범죄)_18010_label.wav,0,2.17,2
1.강제추행(성범죄)_18012_label.wav,0,2.38,2
1.강제추행(성범죄)_18016_label.wav,0,2.3599999999999994,3
1.강제추행(성범죄)_18017_label.wav,0,2.71,2
1.강제추행(성범죄)_18024_label.wav,0,2.38,4
1.강제추행(성범죄)_18025_label.wav,0,2.3200000000000003,1
1.강제추행(성범죄)_18039_label.wav,0,2.2300000000000004,5
1.강제추행(성범죄)_18040_label.wav,0,2.7200000000000006,2
1.강제추행(성범죄)_18043_label.wav,0,2.5299999999999994,1
1.강제추행(성범죄)_18045_label.wav,0,1.8100000000000005,1
1.강제추행(성범죄)_18050_label.wav,0,2.79,4
1.강제추행(성범죄)_18054_label.wav,0,2.25,3
1.강제추행(성범죄)_18056_label.wav,0,6.16,5
1.강제추행(성범죄)_18060_label.wav,0,2.59,4
1.강제추행(성범죄)_18068_label.wav,0,2.1799999999999997,2
1.강제추행(성범죄)_18069_label.wav,0,1.9800000000000004,5
1.강제추행(성범죄)_18072_label.wav,0,2.01,1
1.강제추행(성범죄)_18076_label.wav,0,1.7999999999999998,5
1.강제추행(성범죄)_18081_label.wav,0,2.3,4
1.강제추행(성범죄)_18082_label.wav,0,2.17,4
1.강제추행(성범죄)_18084_label.wav,0,2.3200000000000003,3
1.강제추행(성범죄)_18086_label.wav,0,1.7199999999999998,5
1.강제추행(성범죄)_18090_label.wav,0,1.8499999999999996,4
1.강제추행(성범죄)_18096_label.wav,0,2.0,4
1.강제추행(성범죄)_18099_label.wav,0,1.83,5
1.강제추행(성범죄)_18100_label.wav,0,2.0700000000000003,4
1.강제추행(성범죄)_18102_label.wav,0,1.7800000000000002,5
1.강제추행(성범죄)_18106_label.wav,0,5.33,2
1.강제추행(성범죄)_18107_label.wav,0,2.2699999999999996,3
1.강제추행(성범죄)_18109_label.wav,0,2.5199999999999996,2
1.강제추행(성범죄)_18111_label.wav,0,2.42,5
1.강제추행(성범죄)_18112_label.wav,0,2.1500000000000004,4
1.강제추행(성범죄)_18114_label.wav,0,1.8200000000000003,4
1.강제추행(성범죄)_18129_label.wav,0,2.2200000000000006,5
1.강제추행(성범죄)_18134_label.wav,0,2.3,1
1.강제추행(성범죄)_18137_label.wav,0,2.4800000000000004,1
1.강제추행(성범죄)_18146_label.wav,0,2.2300000000000004,2
1.강제추행(성범죄)_18148_label.wav,0,2.3100000000000005,4
1.강제추행(성범죄)_18149_label.wav,0,1.9500000000000002,3
1.강제추행(성범죄)_18151_label.wav,0,2.6500000000000004,2
1.강제추행(성범죄)_18153_label.wav,0,2.0,5
1.강제추행(성범죄)_18154_label.wav,0,1.9100000000000001,2
1.강제추행(성범죄)_18155_label.wav,0,2.16,4
1.강제추행(성범죄)_18156_label.wav,0,2.58,4
1.강제추행(성범죄)_18157_label.wav,0,1.96,5
1.강제추행(성범죄)_18159_label.wav,0,2.7,5
1.강제추행(성범죄)_18160_label.wav,0,3.2200000000000006,5
1.강제추행(성범죄)_18162_label.wav,0,2.1500000000000004,4
1.강제추행(성범죄)_18163_label.wav,0,1.9699999999999998,4
1.강제추행(성범죄)_18165_label.wav,0,2.3599999999999994,3
1.강제추행(성범죄)_18167_label.wav,0,2.38,1
1.강제추행(성범죄)_18174_label.wav,0,2.2300000000000004,5
1.강제추행(성범죄)_18179_label.wav,0,1.92,3
1.강제추행(성범죄)_18182_label.wav,0,2.2699999999999996,3
1.강제추행(성범죄)_18184_label.wav,0,2.45,3
1.강제추행(성범죄)_18185_label.wav,0,2.17,5
1.강제추행(성범죄)_18189_label.wav,0,2.1799999999999997,5
1.강제추행(성범죄)_18191_label.wav,0,2.34,3
1.강제추행(성범죄)_18197_label.wav,0,2.5999999999999996,4
1.강제추행(성범죄)_18198_label.wav,0,2.24,4
1.강제추행(성범죄)_18199_label.wav,0,2.17,5
1.강제추행(성범죄)_18204_label.wav,0,1.79,2
1.강제추행(성범죄)_18209_label.wav,0,1.83,5
1.강제추행(성범죄)_18214_label.wav,0,5.98,2
1.강제추행(성범죄)_18216_label.wav,0,2.08,4
1.강제추행(성범죄)_18218_label.wav,0,2.6899999999999995,2
1.강제추행(성범죄)_18221_label.wav,0,1.92,3
1.강제추행(성범죄)_18222_label.wav,0,2.4000000000000004,5
1.강제추행(성범죄)_18224_label.wav,0,2.0700000000000003,3
1.강제추행(성범죄)_18226_label.wav,0,1.9000000000000004,2
1.강제추행(성범죄)_18227_label.wav,0,2.76,2
1.강제추행(성범죄)_18229_label.wav,0,2.3100000000000005,2
1.강제추행(성범죄)_18232_label.wav,0,5.190000000000001,4
1.강제추행(성범죄)_18233_label.wav,0,2.3599999999999994,5
1.강제추행(성범죄)_18237_label.wav,0,2.3900000000000006,3
1.강제추행(성범죄)_18238_label.wav,0,2.49,2
1.강제추행(성범죄)_18240_label.wav,0,2.51,4
1.강제추행(성범죄)_18241_label.wav,0,6.0,2
1.강제추행(성범죄)_18242_label.wav,0,1.9800000000000004,2
1.강제추행(성범죄)_18248_label.wav,0,2.0199999999999996,3
1.강제추행(성범죄)_18249_label.wav,0,2.17,3
1.강제추행(성범죄)_18252_label.wav,0,2.8,3
1.강제추행(성범죄)_18253_label.wav,0,2.3499999999999996,5
1.강제추행(성범죄)_18254_label.wav,0,2.3,1
1.강제추행(성범죄)_18256_label.wav,0,2.4000000000000004,5
1.강제추행(성범죄)_18258_label.wav,0,2.01,1
1.강제추행(성범죄)_18261_label.wav,0,1.92,5
1.강제추행(성범죄)_18264_label.wav,0,1.9699999999999998,5
1.강제추행(성범죄)_18266_label.wav,0,2.13,2
1.강제추행(성범죄)_18267_label.wav,0,2.4399999999999995,1
1.강제추행(성범죄)_18268_label.wav,0,2.24,2
1.강제추행(성범죄)_18275_label.wav,0,5.85,2
1.강제추행(성범죄)_18277_label.wav,0,2.55,1
1.강제추행(성범죄)_18279_label.wav,0,1.9900000000000002,5
1.강제추행(성범죄)_18280_label.wav,0,2.25,2
1.강제추행(성범죄)_18287_label.wav,0,2.1799999999999997,2
1.강제추행(성범죄)_18288_label.wav,0,2.3499999999999996,4
1.강제추행(성범죄)_18291_label.wav,0,2.58,3
1.강제추행(성범죄)_18294_label.wav,0,5.16,2
1.강제추행(성범죄)_18296_label.wav,0,1.8399999999999999,1
1.강제추행(성범죄)_18297_label.wav,0,1.87,1
1.강제추행(성범죄)_18298_label.wav,0,2.2300000000000004,4
1.강제추행(성범죄)_18304_label.wav,0,1.8399999999999999,4
1.강제추행(성범죄)_18306_label.wav,0,5.58,1
1.강제추행(성범죄)_18309_label.wav,0,5.699999999999999,5
